"","City_code","lon","lat","num_tweets"
"1","ABBEVILLE SC",-82.37889099,34.1785202,2
"2","ABERDEEN MD",-76.16343689,39.50980759,5
"3","ABERDEEN NC",-79.42922211,35.13199615,2
"4","ABERDEEN SD",-98.48273468,45.46180344,21
"5","ABERDEEN WA",-123.81813812,46.97493744,46
"6","ABERNATHY TX",-101.84558868,33.829319,1
"7","ABILENE KS",-97.21461487,38.9171524,42
"8","ABILENE TX",-99.73384094,32.44894028,133
"9","ABINGDON IL",-90.40194702,40.80449295,1
"10","ABINGDON VA",-81.97711945,36.7100563,2
"11","ABINGTON MA",-70.94435883,42.1049118,2
"12","ABINGTON PA",-75.11743164,40.12073898,11
"13","ABSECON NJ",-74.49462128,39.42850494,284
"14","ACCIDENT MD",-79.31906891,39.62875366,2
"15","ACKERMAN MS",-89.17317963,33.31027222,1
"16","ACTON MA",-71.43197632,42.48540115,48
"17","ACWORTH GA",-84.67662811,34.06597519,32
"18","ADA OH",-83.82268524,40.76944351,6
"19","ADA OK",-96.67899323,34.77481842,32
"20","ADAIRSVILLE GA",-84.93426514,34.36875153,4
"21","ADAMS MA",-73.1167984,42.62440872,6
"22","ADAMSTOWN PA",-76.05577087,40.2414856,1
"23","ADAMSVILLE TN",-88.39057922,35.23587036,2
"24","ADDISON IL",-87.98938751,41.93162155,7
"25","ADDISON NY",-77.23320007,42.1031456,1
"26","ADDISON TX",-96.82976532,32.96215057,161
"27","ADDYSTON OH",-84.70896912,39.13671875,2
"28","ADEL GA",-83.42346191,31.13760948,5
"29","ADEL IA",-94.01776123,41.6144371,1
"30","ADELANTO CA",-117.41043091,34.58280563,4
"31","ADRIAN MI",-84.03691101,41.89771652,18
"32","ADRIAN MO",-94.35219574,38.39756775,7
"33","AHOSKIE NC",-76.98433685,36.28694534,2
"34","AIKEN SC",-81.71619415,33.55714417,49
"35","AIRMONT NY",-74.11543274,41.10093689,5
"36","AKRON NY",-78.49505615,43.02077484,1
"37","AKRON OH",-81.51885223,41.08151627,1251
"38","AKRON PA",-76.20130157,40.15691757,12
"39","ALABASTER AL",-86.81655121,33.24436188,3
"40","ALACHUA FL",-82.49368286,29.79605484,4
"41","ALAMEDA CA",-122.24447632,37.76513672,485
"42","ALAMOGORDO NM",-105.95846558,32.90003967,40
"43","ALAMOSA CO",-105.87244415,37.46229935,22
"44","ALBANY CA",-122.30033112,37.88674164,8
"45","ALBANY GA",-84.15510559,31.58296013,39
"46","ALBANY KY",-85.13433075,36.69089127,1
"47","ALBANY LA",-90.58232117,30.50474739,27
"48","ALBANY NY",-73.75520325,42.6529007,881
"49","ALBANY OR",-123.10839844,44.63620758,43
"50","ALBEMARLE NC",-80.19947815,35.3506012,2
"51","ALBERT LEA MN",-93.36846924,43.6479454,3
"52","ALBERTVILLE AL",-86.20863342,34.26794434,4
"53","ALBERTVILLE MN",-93.65481567,45.23791885,1
"54","ALBIA IA",-92.80632019,41.0268631,1
"55","ALBION ME",-69.44180298,44.53230286,3
"56","ALBION MI",-84.75305176,42.24326324,2
"57","ALBION NY",-78.19290924,43.24666595,2
"58","ALBION PA",-80.3659668,41.88935471,3
"59","ALBUQUERQUE NM",-106.65176392,35.08336639,3062
"60","ALCOA TN",-83.96761322,35.77825165,27
"61","ALEXANDER AR",-92.44168854,34.62968826,1
"62","ALEXANDER CITY AL",-85.95381927,32.94403458,1
"63","ALEXANDRIA IN",-85.67569733,40.2626915,6
"64","ALEXANDRIA LA",-92.44517517,31.31143761,101
"65","ALEXANDRIA MN",-95.37786865,45.88516617,35
"66","ALEXANDRIA VA",-77.04605103,38.80503082,1395
"67","ALFRED NY",-77.78995514,42.25440979,2
"68","ALGOMA WI",-87.43292999,44.60874557,2
"69","ALGONA IA",-94.2338028,43.06998444,2
"70","ALHAMBRA CA",-118.12870026,34.0954628,21
"71","ALICE TX",-98.07035828,27.7528286,23
"72","ALICEVILLE AL",-88.15151978,33.12960434,3
"73","ALIQUIPPA PA",-80.23978424,40.63685608,16
"74","ALLEGAN MI",-85.85546112,42.52919769,5
"75","ALLEN PARK MI",-83.21057892,42.25782394,10
"76","ALLEN TX",-96.67116547,33.10336685,52
"77","ALLENDALE SC",-81.3080368,33.00844955,1
"78","ALLENTOWN PA",-75.46569824,40.60851288,183
"79","ALLIANCE NE",-102.87368774,42.10169601,4
"80","ALLIANCE OH",-81.10575867,40.91523743,3
"81","ALLOUEZ WI",-88.01641846,44.47735977,1
"82","ALMA AR",-94.22241974,35.47818375,4
"83","ALMA GA",-82.46193695,31.53981018,1
"84","ALMA MI",-84.65994263,43.37918854,6
"85","ALMONT MI",-83.04501343,42.9206543,2
"86","ALPENA MI",-83.43292999,45.06164551,22
"87","ALPHARETTA GA",-84.29410553,34.07542419,59
"88","ALPINE TX",-103.66222382,30.35860062,4
"89","ALSIP IL",-87.73867035,41.66915894,3
"90","ALTA IA",-95.3097229,42.67442703,1
"91","ALTAMONTE SPRINGS FL",-81.39485931,28.66284752,38
"92","ALTO TX",-95.07303619,31.65087509,2
"93","ALTON IL",-90.18429565,38.89074326,305
"94","ALTON TX",-98.30632782,26.28513527,4
"95","ALTOONA IA",-93.46868896,41.64997482,6
"96","ALTOONA PA",-78.39411163,40.51860046,63
"97","ALTUS OK",-99.33457184,34.63834,6
"98","ALVA OK",-98.66719055,36.80501556,22
"99","ALVIN TX",-95.24459076,29.42417526,14
"100","AMARILLO TX",-101.83240509,35.22210312,243
"101","AMBLER PA",-75.2210083,40.15485382,6
"102","AMBOY IL",-89.3286972,41.71424103,1
"103","AMELIA OH",-84.21751404,39.0284462,2
"104","AMERICAN FORK UT",-111.80323792,40.34251022,7
"105","AMERICUS GA",-84.23246002,32.07291031,13
"106","AMES IA",-93.61370087,42.02269363,552
"107","AMHERST MA",-72.5192337,42.37371826,124
"108","AMHERST NY",-78.79901886,42.9784317,3
"109","AMHERST OH",-82.22229767,41.39805603,31
"110","AMHERST VA",-79.05090332,37.58533478,3
"111","AMITYVILLE NY",-73.41622162,40.67899323,8
"112","AMMON ID",-111.96840668,43.46959305,2
"113","AMORY MS",-88.48745728,33.98094559,17
"114","AMSTERDAM NY",-74.18743134,42.93893051,3
"115","ANACORTES WA",-122.61488342,48.51247025,23
"116","ANADARKO OK",-98.2443161,35.07276535,4
"117","ANAHEIM CA",-117.91651154,33.8354454,330
"118","ANCHORAGE AK",-149.88119507,61.21649933,742
"119","ANDERSON IN",-85.68051147,40.1053772,189
"120","ANDERSON SC",-82.65641785,34.50934219,73
"121","ANDOVER KS",-97.13726807,37.71379852,11
"122","ANDOVER MA",-71.13011169,42.65668869,25
"123","ANDOVER MN",-93.29158783,45.23327637,8
"124","ANDOVER NH",-71.82262421,43.43712234,1
"125","ANDREWS TX",-102.54620361,32.31894684,1
"126","ANGLETON TX",-95.43254852,29.17015266,1
"127","ANGOLA IN",-84.99913788,41.63493347,1
"128","ANGOLA NY",-79.0273056,42.63856506,4
"129","ANKENY IA",-93.60646057,41.72983551,54
"130","ANN ARBOR MI",-83.74536896,42.28347015,1964
"131","ANNA TX",-96.5491333,33.34925842,1
"132","ANNAPOLIS MD",-76.49166107,38.97844696,351
"133","ANNAWAN IL",-89.90499115,41.39733887,1
"134","ANNISTON AL",-85.8313446,33.65997314,16
"135","ANNVILLE PA",-76.51483917,40.32979584,7
"136","ANOKA MN",-93.3874588,45.19776535,14
"137","ANSONIA CT",-73.0779953,41.34640884,21
"138","ANTIGO WI",-89.15254211,45.14036942,1
"139","ANTIOCH CA",-121.80813599,38.0049057,113
"140","APACHE JUNCTION AZ",-111.55115509,33.41511536,38
"141","APEX NC",-78.84952545,35.73279572,35
"142","APOLLO PA",-79.56620789,40.58155441,5
"143","APOPKA FL",-81.5089798,28.68117523,25
"144","APPLE VALLEY MN",-93.21794128,44.73189926,47
"145","APPLETON WI",-88.41551208,44.2618866,186
"146","APPOMATTOX VA",-78.82469177,37.35719299,2
"147","ARAB AL",-86.49552917,34.31829453,95
"148","ARANSAS PASS TX",-97.150383,27.91025734,2
"149","ARCADIA CA",-118.03688812,34.1397934,48
"150","ARCADIA FL",-81.85810089,27.21654701,6
"151","ARCADIA LA",-92.92064667,32.54955673,2
"152","ARCANUM OH",-84.55335236,39.9899826,4
"153","ARCATA CA",-124.08563995,40.86624527,72
"154","ARCHBOLD OH",-84.30731201,41.52135849,1
"155","ARCHDALE NC",-79.97145844,35.91481018,4
"156","ARCHER FL",-82.51840973,29.53064919,6
"157","ARCOLA IL",-88.3065567,39.68466949,1
"158","ARDEN DE",-75.48575592,39.8094902,1
"159","ARDEN HILLS MN",-93.15720367,45.05033112,10
"160","ARDMORE OK",-97.14401245,34.17425156,34
"161","ARENZVILLE IL",-90.37351227,39.87685394,1
"162","ARGONNE WI",-88.87945557,45.65941238,1
"163","ARGYLE WI",-89.86712646,42.70111084,4
"164","ARKADELPHIA AR",-93.05423737,34.12095642,12
"165","ARKANSAS CITY KS",-97.03897858,37.06211472,12
"166","ARKPORT NY",-77.69580841,42.39464188,1
"167","ARLINGTON HEIGHTS IL",-87.98104858,42.08821106,224
"168","ARLINGTON MA",-71.15559387,42.41545486,88
"169","ARLINGTON NE",-96.35142517,41.45244598,1
"170","ARLINGTON TN",-89.66139984,35.29637527,20
"171","ARLINGTON TX",-97.10882568,32.73590469,1174
"172","ARLINGTON WA",-122.12772369,48.19829941,15
"173","ARNAUDVILLE LA",-91.93197632,30.39797974,2
"174","ARNOLD MO",-90.37690735,38.43906784,38
"175","ARROYO GRANDE CA",-120.59288788,35.11868668,21
"176","ARTESIA CA",-118.08461761,33.86582184,6
"177","ARTESIA NM",-104.40464783,32.84522247,2
"178","ARVADA CO",-105.08866119,39.8028183,30
"179","ARVIN CA",-118.83087921,35.20893478,2
"180","ASBURY PARK NJ",-74.01100159,40.22047806,82
"181","ASH GROVE MO",-93.58557892,37.31526566,3
"182","ASHBURN GA",-83.65306091,31.70657539,5
"183","ASHEBORO NC",-79.81291199,35.70822525,24
"184","ASHEVILLE NC",-82.55367279,35.60134888,1228
"185","ASHLAND AL",-85.83626556,33.27382278,21
"186","ASHLAND IL",-90.00800323,39.88794327,6
"187","ASHLAND KY",-82.63764954,38.47874069,80
"188","ASHLAND MA",-71.46256256,42.26143265,7
"189","ASHLAND MO",-92.25737762,38.77433395,29
"190","ASHLAND OH",-82.31797028,40.86874771,18
"191","ASHLAND OR",-122.71113586,42.19425583,367
"192","ASHLAND VA",-77.47959137,37.75937653,189
"193","ASHLAND WI",-90.88419342,46.59241104,33
"194","ASHLEY IN",-85.06525421,41.52718735,2
