"Code","State","State_id","City","City2","City3","Place_type","City_state","City_code","avgCensus2010pop","avgPopestimate2015","rownum","id","id2","geography","totalpopulation","malepop","femalepop","medianage","per_male","per_female","total_area","urban","rural","per_urban","per_rural","house_total_population","house_total_income","total_population_race","white_population","black_population","per_white","per_black","total_pop_over16","employ_pop_over16","per_employ_over16","total_population_lang","english_only","english_other","per_english_only","per_english_other","mean_income_households","total_population_individuals","house_median_income","med_per_urban","med_per_rural","med_per_employ_over16","city","state","location","lon","lat","count","count_rate","mean_income_per_capita"
"AK","Alaska",2,"Anchorage municipality","Anchorage","Anchorage","municipality","Anchorage, Alaska","Anchorage, AK",291826,298018,599,"1600000US0203000",203000,"Anchorage municipality, Alaska",299107,153122,145985,32.5,51.19,48.81,291826,279811,12015,95.88,4.12,105175,105175,299107,194254,17511,64.94,5.85,231795,171644,74,276810,227828,48982,82.3,17.7,99630,299107,78326,91.055,8.945,67.8,"ANCHORAGE","AK","ANCHORAGE AK",-149.8811951,61.21649933,742,2.480717603,36920
"AK","Alaska",2,"Barrow city","Barrow","Barrow","city","Barrow, Alaska","Barrow, AK",4212,4439,611,"1600000US0205200",205200,"Barrow city, Alaska",4293,2256,2037,26.5,52.55,47.45,4212,3835,377,91.05,8.95,1329,1329,4293,361,24,8.41,0.56,2857,2079,72.8,3805,1879,1926,49.4,50.6,95160,4293,76902,91.055,8.945,67.8,"BARROW","AK","BARROW AK",-156.7964325,71.29006195,2,0.46587468,27360
"AK","Alaska",2,"Fairbanks city","Fairbanks","Fairbanks","city","Fairbanks, Alaska","Fairbanks, AK",31535,31638,680,"1600000US0224230",224230,"Fairbanks city, Alaska",32193,17366,14827,27.2,53.94,46.06,31535,31403,132,99.58,0.42,11228,11228,32193,20434,2867,63.47,8.91,24240,17696,73,28999,24211,4788,83.5,16.5,70739,32193,55229,91.055,8.945,67.8,"FAIRBANKS","AK","FAIRBANKS AK",-147.7185669,64.83367157,121,3.758581058,27386
"AK","Alaska",2,"Homer city","Homer","Homer","city","Homer, Alaska","Homer, AK",5003,5510,716,"1600000US0233140",233140,"Homer city, Alaska",5324,2555,2769,39.1,47.99,52.01,5003,0,5003,0,100,2090,2090,5324,4630,32,86.96,0.6,4190,2685,64.1,4892,4375,517,89.4,10.6,74523,5324,55849,91.055,8.945,67.8,"HOMER","AK","HOMER AK",-151.544632,59.64481735,3,0.563486101,30664
"AK","Alaska",2,"Kenai city","Kenai","Kenai","city","Kenai, Alaska","Kenai, AK",7100,7636,738,"1600000US0238420",238420,"Kenai city, Alaska",7463,3692,3771,38.5,49.47,50.53,7100,4498,2602,63.35,36.65,3041,3041,7463,5883,27,78.83,0.36,5897,3847,65.2,7020,6536,484,93.1,6.9,81043,7463,62236,91.055,8.945,67.8,"KENAI","AK","KENAI AK",-151.2597809,60.55926895,8,1.071954978,34627
"AK","Alaska",2,"Ketchikan city","Ketchikan","Ketchikan","city","Ketchikan, Alaska","Ketchikan, AK",8050,8171,740,"1600000US0238970",238970,"Ketchikan city, Alaska",8197,4189,4008,36.9,51.1,48.9,8050,7917,133,98.35,1.65,3317,3317,8197,4901,56,59.79,0.68,6576,4422,67.2,7620,6533,1087,85.7,14.3,66751,8197,53111,91.055,8.945,67.8,"KETCHIKAN","AK","KETCHIKAN AK",-131.6417084,55.34326935,8,0.975966817,28041
"AK","Alaska",2,"Kodiak city","Kodiak","Kodiak","city","Kodiak, Alaska","Kodiak, AK",6130,6167,751,"1600000US0240950",240950,"Kodiak city, Alaska",6293,3268,3025,36.9,51.93,48.07,6130,5837,293,95.22,4.78,2001,2001,6293,2378,1,37.79,0.02,4935,3811,77.2,5763,3423,2340,59.4,40.6,78310,6293,62934,91.055,8.945,67.8,"KODIAK","AK","KODIAK AK",-152.3966675,57.7966423,42,6.674082314,28624
"AK","Alaska",2,"Nome city","Nome","Nome","city","Nome, Alaska","Nome, AK",3598,3795,813,"1600000US0254920",254920,"Nome city, Alaska",3773,1991,1782,30.1,52.77,47.23,3598,3222,376,89.55,10.45,1296,1296,3773,1303,72,34.53,1.91,2790,1995,71.5,3392,2857,535,84.2,15.8,84952,3773,76389,91.055,8.945,67.8,"NOME","AK","NOME AK",-165.3991394,64.51126099,1,0.265041081,29005
"AK","Alaska",2,"North Pole city","North Pole","North Pole","city","North Pole, Alaska","North Pole, AK",2117,2085,816,"1600000US0255910",255910,"North Pole city, Alaska",2265,1175,1090,29.3,51.88,48.12,2117,1960,157,92.58,7.42,803,803,2265,1673,199,73.86,8.79,1697,1160,68.4,2073,1857,216,89.6,10.4,82528,2265,70536,91.055,8.945,67.8,"NORTH POLE","AK","NORTH POLE AK",-147.3626251,64.7430191,10,4.415011038,30992
"AK","Alaska",2,"Palmer city","Palmer","Palmer","city","Palmer, Alaska","Palmer, AK",5937,6738,827,"1600000US0258660",258660,"Palmer city, Alaska",6449,3275,3174,29.3,50.78,49.22,5937,5926,11,99.81,0.19,2055,2055,6449,4900,132,75.98,2.05,4771,3087,64.7,5854,5489,365,93.8,6.2,73063,6449,61797,91.055,8.945,67.8,"PALMER","AK","PALMER AK",-149.1138458,61.59459305,21,3.256318809,26230
"AK","Alaska",2,"Soldotna city","Soldotna","Soldotna","city","Soldotna, Alaska","Soldotna, AK",4163,4537,886,"1600000US0271640",271640,"Soldotna city, Alaska",4409,2075,2334,33.3,47.06,52.94,4163,3791,372,91.06,8.94,1638,1638,4409,3971,8,90.07,0.18,3438,2178,63.4,3885,3730,155,96,4,83221,4409,65048,91.055,8.945,67.8,"SOLDOTNA","AK","SOLDOTNA AK",-151.0635071,60.47569275,7,1.587661601,33507
"AK","Alaska",2,"Tanana city","Tanana","Tanana","city","Tanana, Alaska","Tanana, AK",246,254,902,"1600000US0275160",275160,"Tanana city, Alaska",277,163,114,37.7,58.84,41.16,246,0,246,0,100,103,103,277,43,0,15.52,0,221,125,56.6,266,233,33,87.6,12.4,51433,277,45625,91.055,8.945,67.8,"TANANA","AK","TANANA AK",-152.0746002,65.16492462,4,14.44043321,20739
