"yday","location","time","location_total.counts","positive.counts","negative.counts","neutral.counts","counts","lon","lat"
221,"ATLANTA GA",1,7,2,4,1,7,-84.38757324,33.74927521
221,"AUSTIN TX",1,2,0,1,1,2,-97.74386597,30.26748466
221,"BALTIMORE MD",1,2,0,2,0,2,-76.6115799,39.29075623
221,"BEAVERTON OR",1,2,0,1,1,2,-122.8055344,45.48670197
221,"BOSTON MA",1,2,0,1,1,2,-71.05905151,42.35883713
221,"BOULDER CO",1,1,0,0,1,1,-105.2715302,40.01483917
221,"CHARLOTTE NC",1,2,1,0,1,2,-80.84257507,35.22746277
221,"CHESAPEAKE VA",1,1,0,0,1,1,-76.27422333,36.81948853
221,"CHICAGO IL",1,4,1,2,1,4,-87.6503067,41.85000992
221,"CINCINNATI OH",1,1,0,1,0,1,-84.51939392,39.10413742
221,"COLUMBIA MO",1,1,0,0,1,1,-92.33429718,38.95169067
221,"COLUMBIA SC",1,1,1,0,0,1,-81.04045105,34.00138855
221,"COLUMBUS OH",1,5,1,3,1,5,-82.99890137,39.96136475
221,"DALLAS TX",1,3,0,1,2,3,-96.80088043,32.78369904
221,"DAYTON OH",1,4,0,3,1,4,-84.19126892,39.75915146
221,"DEBARY FL",1,1,0,1,0,1,-81.30838776,28.88345909
221,"DENVER CO",1,1,0,1,0,1,-104.9853745,39.73901749
221,"DERBY KS",1,1,0,0,1,1,-97.26980591,37.54567719
221,"FEDERAL WAY WA",1,2,1,0,1,2,-122.314415,47.32177734
221,"FLINT MI",1,1,0,1,0,1,-83.68744659,43.01246643
221,"FREEPORT IL",1,1,0,0,1,1,-89.62126923,42.29691696
221,"GREENVILLE SC",1,1,0,0,1,1,-82.39870453,34.84753418
221,"HOUSTON TX",1,2,0,1,1,2,-95.36399841,29.76376343
221,"JERSEY CITY NJ",1,1,0,0,1,1,-74.07667542,40.72816849
221,"KANSAS CITY MO",1,2,0,1,1,2,-94.57884979,39.09976578
221,"LOS ANGELES CA",1,5,0,3,2,5,-118.2459106,34.05225754
221,"MIAMI FL",1,1,0,0,1,1,-80.19329071,25.77483749
221,"MINNEAPOLIS MN",1,1,0,1,0,1,-93.26397705,44.97980118
221,"NEW CASTLE DE",1,2,0,1,1,2,-75.56227875,39.66440964
221,"NEW YORK NY",1,4,0,3,1,4,-74.00528717,40.7145195
221,"OAKLAND CA",1,1,0,1,0,1,-122.2733154,37.80438614
221,"PONTIAC MI",1,3,0,2,1,3,-83.29104614,42.63900757
221,"PORTLAND OR",1,2,0,1,1,2,-122.6786423,45.52309418
221,"POWDER SPRINGS GA",1,1,1,0,0,1,-84.68379974,33.8599205
221,"SACRAMENTO CA",1,1,0,1,0,1,-121.4959793,38.58154297
221,"ST LOUIS MO",1,30,6,7,17,30,-90.19819641,38.62716675
221,"TAMPA FL",1,2,1,0,1,2,-82.4580307,27.94833755
221,"VIRGINIA BEACH VA",1,4,1,2,1,4,-75.97751617,36.8533783
221,"WASHINGTON DC",1,11,2,6,3,11,-77.01257324,38.88911819
221,"WILMINGTON DE",1,1,0,0,1,1,-75.54558563,39.74601364
222,"ABERDEEN MD",2,1,0,1,0,1,-76.16343689,39.50980759
222,"ABILENE TX",2,3,1,1,1,3,-99.73384094,32.44894028
222,"ADA OK",2,1,0,1,0,1,-96.67899323,34.77481842
222,"ADDISON TX",2,1,1,0,0,1,-96.82976532,32.96215057
222,"AIKEN SC",2,1,0,1,0,1,-81.71619415,33.55714417
222,"AKRON OH",2,18,4,7,7,18,-81.51885223,41.08151627
222,"ALAMEDA CA",2,3,1,1,1,3,-122.2444763,37.76513672
222,"ALAMOGORDO NM",2,1,0,1,0,1,-105.9584656,32.90003967
222,"ALAMOSA CO",2,2,0,0,2,2,-105.8724442,37.46229935
222,"ALBANY GA",2,1,0,1,0,1,-84.15510559,31.58296013
222,"ALBANY NY",2,2,0,0,2,2,-73.75520325,42.6529007
222,"ALBUQUERQUE NM",2,20,2,9,9,20,-106.6517639,35.08336639
222,"ALEXANDRIA VA",2,30,9,9,12,30,-77.04605103,38.80503082
222,"ALLEN TX",2,1,0,1,0,1,-96.67116547,33.10336685
222,"ALLENTOWN PA",2,1,0,1,0,1,-75.46569824,40.60851288
222,"ALPENA MI",2,8,2,4,2,8,-83.43292999,45.06164551
222,"AMARILLO TX",2,2,0,2,0,2,-101.8324051,35.22210312
222,"AMERICUS GA",2,1,0,1,0,1,-84.23246002,32.07291031
222,"AMES IA",2,2,1,1,0,2,-93.61370087,42.02269363
222,"AMHERST MA",2,2,0,0,2,2,-72.5192337,42.37371826
222,"AMORY MS",2,3,1,1,1,3,-88.48745728,33.98094559
222,"ANAHEIM CA",2,5,1,2,2,5,-117.9165115,33.8354454
222,"ANCHORAGE AK",2,27,7,17,3,27,-149.8811951,61.21649933
222,"ANDERSON IN",2,1,0,0,1,1,-85.68051147,40.1053772
222,"ANN ARBOR MI",2,24,1,11,12,24,-83.74536896,42.28347015
222,"ANNAPOLIS MD",2,1,1,0,0,1,-76.49166107,38.97844696
222,"ANSONIA CT",2,1,0,1,0,1,-73.0779953,41.34640884
222,"ANTIOCH CA",2,1,0,1,0,1,-121.808136,38.0049057
222,"APEX NC",2,1,0,0,1,1,-78.84952545,35.73279572
222,"APPLE VALLEY MN",2,8,1,3,4,8,-93.21794128,44.73189926
222,"APPLETON WI",2,1,0,1,0,1,-88.41551208,44.2618866
222,"ARCATA CA",2,2,0,0,2,2,-124.08564,40.86624527
222,"ARDMORE OK",2,3,1,0,2,3,-97.14401245,34.17425156
222,"ARGONNE WI",2,1,0,1,0,1,-88.87945557,45.65941238
222,"ARLINGTON TN",2,2,0,1,1,2,-89.66139984,35.29637527
222,"ARLINGTON TX",2,17,8,4,5,17,-97.10882568,32.73590469
222,"ARNAUDVILLE LA",2,1,0,0,1,1,-91.93197632,30.39797974
222,"ASHEVILLE NC",2,6,1,4,1,6,-82.55367279,35.60134888
222,"ASHLAND OR",2,5,2,2,1,5,-122.7111359,42.19425583
222,"ASHLEY IN",2,2,0,0,2,2,-85.06525421,41.52718735
222,"ASPEN CO",2,1,0,0,1,1,-106.8185959,39.19105911
222,"ATHENS OH",2,5,2,2,1,5,-82.10113525,39.32934952
222,"ATLANTA GA",2,545,124,215,206,545,-84.38757324,33.74927521
222,"ATLANTIC CITY NJ",2,4,1,1,2,4,-74.42202759,39.36457062
222,"ATTLEBORO MA",2,1,0,1,0,1,-71.28439331,41.94469833
222,"AUBURN AL",2,2,0,1,1,2,-85.48087311,32.61021423
222,"AUBURN WA",2,2,0,1,1,2,-122.2304688,47.30677795
222,"AURORA CO",2,10,2,8,0,10,-104.8693161,39.73983765
222,"AUSTELL GA",2,1,1,0,0,1,-84.63414001,33.81290054
222,"AUSTIN TX",2,124,32,36,56,124,-97.74386597,30.26748466
222,"AUSTINTOWN OH",2,1,0,1,0,1,-80.76424408,41.10162354
222,"AVALON CA",2,1,0,0,1,1,-118.329773,33.34281921
222,"BAKERSFIELD CA",2,2,0,1,1,2,-119.0206375,35.37326813
222,"BALLWIN MO",2,1,0,0,1,1,-90.54669189,38.5951004
222,"BALTIMORE MD",2,235,45,111,79,235,-76.6115799,39.29075623
222,"BARTLETT IL",2,1,0,1,0,1,-88.18564606,41.9950676
222,"BARTLETT TN",2,4,1,2,1,4,-89.87441254,35.20460892
222,"BARTONVILLE IL",2,5,2,1,2,5,-89.65235138,40.6502037
222,"BATON ROUGE LA",2,21,5,7,9,21,-91.15479279,30.45132256
222,"BAXTER SPRINGS KS",2,3,2,0,1,3,-94.73813629,37.02472305
222,"BAY VILLAGE OH",2,1,1,0,0,1,-81.92155457,41.48464966
222,"BAYTOWN TX",2,6,3,3,0,6,-94.97782135,29.73608589
222,"BEAUMONT TX",2,2,0,0,2,2,-94.10238647,30.08622551
222,"BEAVERTON OR",2,13,4,5,4,13,-122.8055344,45.48670197
222,"BEDFORD IN",2,1,0,1,0,1,-86.48697662,38.86146164
222,"BELL CA",2,3,0,2,1,3,-118.1889572,33.97753906
222,"BELLEFONTAINE OH",2,1,0,1,0,1,-83.75959015,40.36141205
222,"BELLEVILLE IL",2,4,1,1,2,4,-89.98438263,38.52002716
222,"BELLEVUE NE",2,1,0,1,0,1,-95.89156342,41.13648224
222,"BELLINGHAM WA",2,2,0,1,1,2,-122.4727402,48.76121521
222,"BELVIDERE IL",2,1,0,1,0,1,-88.84451294,42.26396942
222,"BEMIDJI MN",2,1,0,1,0,1,-94.88105774,47.47352982
222,"BEND OR",2,4,0,3,1,4,-121.3171387,44.0577774
222,"BENICIA CA",2,1,0,0,1,1,-122.1603012,38.04900742
222,"BENTON HARBOR MI",2,1,0,1,0,1,-86.45429993,42.11692429
222,"BENTONVILLE AR",2,1,1,0,0,1,-94.20933533,36.3728447
222,"BEREA KY",2,2,0,1,1,2,-84.29612732,37.5687027
222,"BERKELEY CA",2,51,14,18,19,51,-122.2752533,37.87145615
222,"BERKELEY MO",2,4,1,2,1,4,-90.33169556,38.75470734
222,"BESSEMER AL",2,2,0,1,1,2,-86.95465851,33.40222549
222,"BETHLEHEM PA",2,2,0,1,1,2,-75.36949921,40.62598801
222,"BEVERLY HILLS CA",2,13,1,5,7,13,-118.4019775,34.07383347
222,"BILOXI MS",2,2,1,1,0,2,-88.89369202,30.40021133
222,"BINGHAMTON NY",2,2,0,2,0,2,-75.91755676,42.0986557
222,"BIRMINGHAM AL",2,36,11,19,6,36,-86.80226898,33.52098846
222,"BLACKSBURG VA",2,6,0,5,1,6,-80.41369629,37.22999573
222,"BLADENSBURG MD",2,1,0,1,0,1,-76.9335556,38.93954849
222,"BLOOMINGTON IL",2,1,0,0,1,1,-88.99375916,40.48418045
222,"BLOOMINGTON IN",2,2,0,1,1,2,-86.53382874,39.16920471
222,"BLOOMINGTON MN",2,2,0,2,0,2,-93.29154205,44.82648849
222,"BLUFF CITY TN",2,2,0,0,2,2,-82.26051331,36.47451019
222,"BOCA RATON FL",2,3,1,0,2,3,-80.08280182,26.35960197
222,"BOLINGBROOK IL",2,1,0,0,1,1,-88.06878662,41.69866562
222,"BOSTON MA",2,148,32,60,56,148,-71.05905151,42.35883713
222,"BOULDER CO",2,2,1,0,1,2,-105.2715302,40.01483917
222,"BOWIE MD",2,17,5,7,5,17,-76.77848816,39.00718689
222,"BRADLEY IL",2,1,0,1,0,1,-87.86099243,41.14196014
222,"BRANDON MS",2,1,1,0,0,1,-89.98616028,32.27327728
222,"BRIDGEPORT CT",2,9,1,2,6,9,-73.2040863,41.16743088
222,"BRIGHTON MI",2,1,0,1,0,1,-83.78043365,42.52965546
222,"BRISTOL CT",2,16,3,9,4,16,-72.94853973,41.67193222
222,"BROCKTON MA",2,4,2,1,1,4,-71.01748657,42.08340454
222,"BROOKINGS OR",2,2,2,0,0,2,-124.2865219,42.05229187
222,"BROOKLYN PARK MN",2,3,2,1,0,3,-93.35662079,45.09407043
222,"BROOMFIELD CO",2,2,0,1,1,2,-105.0877686,39.92069244
222,"BRYAN TX",2,16,14,2,0,16,-96.3704071,30.67456818
222,"BUENA PARK CA",2,1,0,1,0,1,-117.999939,33.86748123
222,"BUFFALO NY",2,18,3,11,4,18,-78.87787628,42.8867836
222,"BURBANK CA",2,1,0,1,0,1,-118.3104782,34.18065262
222,"BURLINGAME CA",2,1,0,1,0,1,-122.3685074,37.58408737
222,"BURLINGTON VT",2,5,1,2,2,5,-73.20542908,44.47687531
222,"BURNSVILLE NC",2,1,0,1,0,1,-82.30067444,35.91744614
222,"BUTLER PA",2,3,0,3,0,3,-79.89468384,40.86117172
222,"BYRON WY",2,2,0,2,0,2,-108.5082169,44.79620361
222,"CALHOUN GA",2,1,0,1,0,1,-84.95102692,34.50297165
222,"CAMBRIDGE MA",2,16,3,11,2,16,-71.10369873,42.36532593
222,"CAMDEN AR",2,1,0,1,0,1,-92.83481598,33.58491898
222,"CAMDEN NJ",2,11,1,5,5,11,-75.118927,39.92608261
222,"CAMDEN SC",2,1,0,0,1,1,-80.60647583,34.24704742
222,"CANTON OH",2,1,0,1,0,1,-81.37824249,40.79906845
222,"CAPE GIRARDEAU MO",2,1,0,1,0,1,-89.51838684,37.30613327
222,"CAPITOL HEIGHTS MD",2,3,0,2,1,3,-76.91506195,38.88552475
222,"CARBONDALE IL",2,2,0,1,1,2,-89.2168808,37.7274704
222,"CARLISLE PA",2,1,0,0,1,1,-77.18848419,40.20173264
222,"CARMEL IN",2,1,0,1,0,1,-86.12607574,39.97961426
222,"CARRBORO NC",2,2,1,0,1,2,-79.07286835,35.91213989
222,"CARROLLTON GA",2,2,0,2,0,2,-85.07631683,33.58019638
222,"CARROLLTON TX",2,1,1,0,0,1,-96.89080811,32.95380783
222,"CARY NC",2,9,0,4,5,9,-78.78055573,35.79200745
222,"CASA GRANDE AZ",2,4,1,1,2,4,-111.7590179,32.87965393
222,"CAYCE SC",2,1,1,0,0,1,-81.05870819,33.97318649
