"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts"
"ABBEVILLE SC",-82.37889099,34.1785202,2,1,0,1
"ABERDEEN MD",-76.16343689,39.50980759,5,0,3,2
"ABERDEEN NC",-79.42922211,35.13199615,2,0,0,2
"ABERDEEN SD",-98.48273468,45.46180344,21,5,8,8
"ABERDEEN WA",-123.8181381,46.97493744,46,10,21,15
"ABERNATHY TX",-101.8455887,33.829319,1,1,0,0
"ABILENE KS",-97.21461487,38.9171524,42,14,13,15
"ABILENE TX",-99.73384094,32.44894028,133,28,52,53
"ABINGDON IL",-90.40194702,40.80449295,1,0,0,1
"ABINGDON VA",-81.97711945,36.7100563,2,0,1,1
"ABINGTON MA",-70.94435883,42.1049118,2,1,0,1
"ABINGTON PA",-75.11743164,40.12073898,11,2,2,7
"ABSECON NJ",-74.49462128,39.42850494,284,84,58,142
"ACCIDENT MD",-79.31906891,39.62875366,2,0,1,1
"ACKERMAN MS",-89.17317963,33.31027222,1,0,1,0
"ACTON MA",-71.43197632,42.48540115,48,19,13,16
"ACWORTH GA",-84.67662811,34.06597519,32,8,9,15
"ADA OH",-83.82268524,40.76944351,6,2,0,4
"ADA OK",-96.67899323,34.77481842,32,9,8,15
"ADAIRSVILLE GA",-84.93426514,34.36875153,4,1,2,1
"ADAMS MA",-73.1167984,42.62440872,6,1,2,3
"ADAMSTOWN PA",-76.05577087,40.2414856,1,0,1,0
"ADAMSVILLE TN",-88.39057922,35.23587036,2,1,1,0
"ADDISON IL",-87.98938751,41.93162155,7,0,0,7
"ADDISON NY",-77.23320007,42.1031456,1,1,0,0
"ADDISON TX",-96.82976532,32.96215057,161,38,40,83
"ADDYSTON OH",-84.70896912,39.13671875,2,1,0,1
"ADEL GA",-83.42346191,31.13760948,5,2,2,1
"ADEL IA",-94.01776123,41.6144371,1,0,1,0
"ADELANTO CA",-117.4104309,34.58280563,4,3,0,1
"ADRIAN MI",-84.03691101,41.89771652,18,4,6,8
"ADRIAN MO",-94.35219574,38.39756775,7,2,2,3
"AHOSKIE NC",-76.98433685,36.28694534,2,1,1,0
"AIKEN SC",-81.71619415,33.55714417,49,8,12,29
"AIRMONT NY",-74.11543274,41.10093689,5,0,4,1
"AKRON NY",-78.49505615,43.02077484,1,0,0,1
"AKRON OH",-81.51885223,41.08151627,1251,389,329,533
"AKRON PA",-76.20130157,40.15691757,12,3,6,3
"ALABASTER AL",-86.81655121,33.24436188,3,2,1,0
"ALACHUA FL",-82.49368286,29.79605484,4,2,0,2
"ALAMEDA CA",-122.2444763,37.76513672,485,130,144,211
"ALAMOGORDO NM",-105.9584656,32.90003967,40,12,17,11
"ALAMOSA CO",-105.8724442,37.46229935,22,4,4,14
"ALBANY CA",-122.3003311,37.88674164,8,0,4,4
"ALBANY GA",-84.15510559,31.58296013,39,9,13,17
"ALBANY KY",-85.13433075,36.69089127,1,0,0,1
"ALBANY LA",-90.58232117,30.50474739,27,9,5,13
"ALBANY NY",-73.75520325,42.6529007,881,222,214,445
"ALBANY OR",-123.1083984,44.63620758,43,14,14,15
"ALBEMARLE NC",-80.19947815,35.3506012,2,1,0,1
"ALBERT LEA MN",-93.36846924,43.6479454,3,0,0,3
"ALBERTVILLE AL",-86.20863342,34.26794434,4,0,0,4
"ALBERTVILLE MN",-93.65481567,45.23791885,1,0,1,0
"ALBIA IA",-92.80632019,41.0268631,1,0,0,1
"ALBION ME",-69.44180298,44.53230286,3,0,0,3
"ALBION MI",-84.75305176,42.24326324,2,1,1,0
"ALBION NY",-78.19290924,43.24666595,2,0,0,2
"ALBION PA",-80.3659668,41.88935471,3,2,0,1
"ALBUQUERQUE NM",-106.6517639,35.08336639,3062,788,856,1418
"ALCOA TN",-83.96761322,35.77825165,27,5,10,12
"ALEXANDER AR",-92.44168854,34.62968826,1,1,0,0
"ALEXANDER CITY AL",-85.95381927,32.94403458,1,0,0,1
"ALEXANDRIA IN",-85.67569733,40.2626915,6,1,1,4
"ALEXANDRIA LA",-92.44517517,31.31143761,101,29,31,41
"ALEXANDRIA MN",-95.37786865,45.88516617,35,10,12,13
"ALEXANDRIA VA",-77.04605103,38.80503082,1395,418,378,599
"ALFRED NY",-77.78995514,42.25440979,2,0,0,2
"ALGOMA WI",-87.43292999,44.60874557,2,0,1,1
"ALGONA IA",-94.2338028,43.06998444,2,0,1,1
"ALHAMBRA CA",-118.1287003,34.0954628,21,7,2,12
"ALICE TX",-98.07035828,27.7528286,23,7,11,5
"ALICEVILLE AL",-88.15151978,33.12960434,3,2,1,0
"ALIQUIPPA PA",-80.23978424,40.63685608,16,3,8,5
"ALLEGAN MI",-85.85546112,42.52919769,5,2,1,2
"ALLEN PARK MI",-83.21057892,42.25782394,10,2,4,4
"ALLEN TX",-96.67116547,33.10336685,52,15,14,23
"ALLENDALE SC",-81.3080368,33.00844955,1,0,1,0
"ALLENTOWN PA",-75.46569824,40.60851288,183,39,56,88
"ALLIANCE NE",-102.8736877,42.10169601,4,2,0,2
"ALLIANCE OH",-81.10575867,40.91523743,3,0,1,2
"ALLOUEZ WI",-88.01641846,44.47735977,1,0,1,0
"ALMA AR",-94.22241974,35.47818375,4,2,1,1
"ALMA GA",-82.46193695,31.53981018,1,0,1,0
"ALMA MI",-84.65994263,43.37918854,6,2,1,3
"ALMONT MI",-83.04501343,42.9206543,2,2,0,0
"ALPENA MI",-83.43292999,45.06164551,22,3,7,12
"ALPHARETTA GA",-84.29410553,34.07542419,59,21,17,21
"ALPINE TX",-103.6622238,30.35860062,4,2,1,1
"ALSIP IL",-87.73867035,41.66915894,3,0,1,2
"ALTA IA",-95.3097229,42.67442703,1,0,0,1
"ALTAMONTE SPRINGS FL",-81.39485931,28.66284752,38,10,11,17
"ALTO TX",-95.07303619,31.65087509,2,2,0,0
"ALTON IL",-90.18429565,38.89074326,305,92,83,130
"ALTON TX",-98.30632782,26.28513527,4,1,2,1
"ALTOONA IA",-93.46868896,41.64997482,6,2,0,4
"ALTOONA PA",-78.39411163,40.51860046,63,16,22,25
"ALTUS OK",-99.33457184,34.63834,6,1,2,3
"ALVA OK",-98.66719055,36.80501556,22,8,5,9
"ALVIN TX",-95.24459076,29.42417526,14,5,5,4
"AMARILLO TX",-101.8324051,35.22210312,243,52,85,106
"AMBLER PA",-75.2210083,40.15485382,6,0,3,3
"AMBOY IL",-89.3286972,41.71424103,1,1,0,0
"AMELIA OH",-84.21751404,39.0284462,2,0,1,1
"AMERICAN FORK UT",-111.8032379,40.34251022,7,2,1,4
"AMERICUS GA",-84.23246002,32.07291031,13,4,4,5
"AMES IA",-93.61370087,42.02269363,552,140,136,276
"AMHERST MA",-72.5192337,42.37371826,124,40,26,58
"AMHERST NY",-78.79901886,42.9784317,3,1,0,2
"AMHERST OH",-82.22229767,41.39805603,31,6,17,8
"AMHERST VA",-79.05090332,37.58533478,3,1,1,1
"AMITYVILLE NY",-73.41622162,40.67899323,8,1,3,4
"AMMON ID",-111.9684067,43.46959305,2,1,1,0
"AMORY MS",-88.48745728,33.98094559,17,5,4,8
"AMSTERDAM NY",-74.18743134,42.93893051,3,0,3,0
"ANACORTES WA",-122.6148834,48.51247025,23,6,6,11
"ANADARKO OK",-98.2443161,35.07276535,4,1,2,1
"ANAHEIM CA",-117.9165115,33.8354454,330,83,96,151
"ANCHORAGE AK",-149.8811951,61.21649933,742,212,204,326
"ANDERSON IN",-85.68051147,40.1053772,189,43,51,95
"ANDERSON SC",-82.65641785,34.50934219,73,24,21,28
"ANDOVER KS",-97.13726807,37.71379852,11,5,4,2
"ANDOVER MA",-71.13011169,42.65668869,25,8,8,9
"ANDOVER MN",-93.29158783,45.23327637,8,3,3,2
"ANDOVER NH",-71.82262421,43.43712234,1,0,1,0
"ANDREWS TX",-102.5462036,32.31894684,1,1,0,0
"ANGLETON TX",-95.43254852,29.17015266,1,1,0,0
"ANGOLA IN",-84.99913788,41.63493347,1,0,0,1
"ANGOLA NY",-79.0273056,42.63856506,4,1,2,1
"ANKENY IA",-93.60646057,41.72983551,54,14,14,26
"ANN ARBOR MI",-83.74536896,42.28347015,1964,539,550,875
"ANNA TX",-96.5491333,33.34925842,1,0,0,1
"ANNAPOLIS MD",-76.49166107,38.97844696,351,101,104,146
"ANNAWAN IL",-89.90499115,41.39733887,1,0,1,0
"ANNISTON AL",-85.8313446,33.65997314,16,9,3,4
"ANNVILLE PA",-76.51483917,40.32979584,7,0,4,3
"ANOKA MN",-93.3874588,45.19776535,14,4,4,6
"ANSONIA CT",-73.0779953,41.34640884,21,3,6,12
"ANTIGO WI",-89.15254211,45.14036942,1,0,0,1
"ANTIOCH CA",-121.808136,38.0049057,113,25,44,44
"APACHE JUNCTION AZ",-111.5511551,33.41511536,38,15,14,9
