"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts","totalpopulation"
"ABBEVILLE SC",-82.37889099,34.1785202,2,1,0,1,5197
"ABERDEEN MD",-76.16343689,39.50980759,5,0,3,2,15238
"ABERDEEN NC",-79.42922211,35.13199615,2,0,0,2,6914
"ABERDEEN SD",-98.48273468,45.46180344,21,5,8,8,27418
"ABERDEEN WA",-123.8181381,46.97493744,46,10,21,15,16429
"ABERNATHY TX",-101.8455887,33.829319,1,1,0,0,3290
"ABILENE KS",-97.21461487,38.9171524,42,14,13,15,6671
"ABILENE TX",-99.73384094,32.44894028,133,28,52,53,122226
"ABINGDON IL",-90.40194702,40.80449295,1,0,0,1,3105
"ABINGDON VA",-81.97711945,36.7100563,2,0,1,1,8143
"ABSECON NJ",-74.49462128,39.42850494,284,84,58,142,8394
"ACCIDENT MD",-79.31906891,39.62875366,2,0,1,1,265
"ACKERMAN MS",-89.17317963,33.31027222,1,0,1,0,1861
"ACWORTH GA",-84.67662811,34.06597519,32,8,9,15,21512
"ADA OH",-83.82268524,40.76944351,6,2,0,4,6050
"ADA OK",-96.67899323,34.77481842,32,9,8,15,17149
"ADAIRSVILLE GA",-84.93426514,34.36875153,4,1,2,1,4712
"ADAMSTOWN PA",-76.05577087,40.2414856,1,0,1,0,1987
"ADAMSVILLE TN",-88.39057922,35.23587036,2,1,1,0,2306
"ADDISON IL",-87.98938751,41.93162155,7,0,0,7,37270
"ADDISON NY",-77.23320007,42.1031456,1,1,0,0,1788
"ADDISON TX",-96.82976532,32.96215057,161,38,40,83,15087
"ADDYSTON OH",-84.70896912,39.13671875,2,1,0,1,936
"ADEL GA",-83.42346191,31.13760948,5,2,2,1,5281
"ADEL IA",-94.01776123,41.6144371,1,0,1,0,4055
"ADELANTO CA",-117.4104309,34.58280563,4,3,0,1,32059
"ADRIAN MI",-84.03691101,41.89771652,18,4,6,8,20878
"ADRIAN MO",-94.35219574,38.39756775,7,2,2,3,1953
"AHOSKIE NC",-76.98433685,36.28694534,2,1,1,0,4976
"AIKEN SC",-81.71619415,33.55714417,49,8,12,29,30183
"AIRMONT NY",-74.11543274,41.10093689,5,0,4,1,8808
"AKRON NY",-78.49505615,43.02077484,1,0,0,1,2860
"AKRON OH",-81.51885223,41.08151627,1251,389,329,533,198329
"AKRON PA",-76.20130157,40.15691757,12,3,6,3,3949
"ALABASTER AL",-86.81655121,33.24436188,3,2,1,0,31905
"ALACHUA FL",-82.49368286,29.79605484,4,2,0,2,9435
"ALAMEDA CA",-122.2444763,37.76513672,485,130,144,211,76733
"ALAMOGORDO NM",-105.9584656,32.90003967,40,12,17,11,31198
"ALAMOSA CO",-105.8724442,37.46229935,22,4,4,14,9592
"ALBANY CA",-122.3003311,37.88674164,8,0,4,4,19249
"ALBANY GA",-84.15510559,31.58296013,39,9,13,17,76466
"ALBANY KY",-85.13433075,36.69089127,1,0,0,1,1874
"ALBANY LA",-90.58232117,30.50474739,27,9,5,13,1481
"ALBANY NY",-73.75520325,42.6529007,881,222,214,445,98468
"ALBANY OR",-123.1083984,44.63620758,43,14,14,15,51511
"ALBEMARLE NC",-80.19947815,35.3506012,2,1,0,1,15969
"ALBERT LEA MN",-93.36846924,43.6479454,3,0,0,3,17843
"ALBERTVILLE AL",-86.20863342,34.26794434,4,0,0,4,21406
"ALBERTVILLE MN",-93.65481567,45.23791885,1,0,1,0,7226
"ALBIA IA",-92.80632019,41.0268631,1,0,0,1,3799
"ALBION MI",-84.75305176,42.24326324,2,1,1,0,8316
"ALBION NY",-78.19290924,43.24666595,2,0,0,2,5631
"ALBION PA",-80.3659668,41.88935471,3,2,0,1,1522
"ALBUQUERQUE NM",-106.6517639,35.08336639,3062,788,856,1418,556092
"ALCOA TN",-83.96761322,35.77825165,27,5,10,12,8737
"ALEXANDER AR",-92.44168854,34.62968826,1,1,0,0,2809
"ALEXANDER CITY AL",-85.95381927,32.94403458,1,0,0,1,14787
"ALEXANDRIA IN",-85.67569733,40.2626915,6,1,1,4,5074
"ALEXANDRIA LA",-92.44517517,31.31143761,101,29,31,41,47985
"ALEXANDRIA MN",-95.37786865,45.88516617,35,10,12,13,11614
"ALEXANDRIA VA",-77.04605103,38.80503082,1395,418,378,599,149315
"ALFRED NY",-77.78995514,42.25440979,2,0,0,2,4314
"ALGOMA WI",-87.43292999,44.60874557,2,0,1,1,3131
"ALGONA IA",-94.2338028,43.06998444,2,0,1,1,5494
"ALHAMBRA CA",-118.1287003,34.0954628,21,7,2,12,84782
"ALICE TX",-98.07035828,27.7528286,23,7,11,5,19425
"ALICEVILLE AL",-88.15151978,33.12960434,3,2,1,0,3727
"ALIQUIPPA PA",-80.23978424,40.63685608,16,3,8,5,9296
"ALLEGAN MI",-85.85546112,42.52919769,5,2,1,2,5036
"ALLEN PARK MI",-83.21057892,42.25782394,10,2,4,4,27676
"ALLEN TX",-96.67116547,33.10336685,52,15,14,23,92502
"ALLENDALE SC",-81.3080368,33.00844955,1,0,1,0,3261
"ALLENTOWN PA",-75.46569824,40.60851288,183,39,56,88,119261
"ALLIANCE NE",-102.8736877,42.10169601,4,2,0,2,8500
"ALLIANCE OH",-81.10575867,40.91523743,3,0,1,2,22137
"ALLOUEZ WI",-88.01641846,44.47735977,1,0,1,0,13947
"ALMA AR",-94.22241974,35.47818375,4,2,1,1,5537
"ALMA GA",-82.46193695,31.53981018,1,0,1,0,3513
